24856,둥그렇다,형용사,뚜렷하게 둥글다.,"참고 어휘 동그랗다, 뚱그렇다"
24870,둥그스름-하다,형용사,약간 둥글다.,"참고 어휘 동그스름-하다, 뚱그스름-하다"
25023,둥글납작-하다,형용사,생김생김이 둥글고 납작하다.,
25027,둥글넓적-하다,형용사,생김새가 둥글면서 넓적하다.,참고 어휘 동글납작-하다
25029,둥글넙데데-하다,형용사,생김새가 둥글면서 넓고 좀 평평하다.,참고 어휘 동글납대대-하다
25030,둥글다,형용사,원이나 공과 모양이 같거나 비슷하다.,참고 어휘 동글다
25039,둥글둥글-하다,형용사,여럿이 다 또는 매우 둥글다.,
25051,둥글뭉수레-하다,형용사,끝이 둥글고 뭉툭하다.,
25055,둥글번번-하다,형용사,생김새가 둥그스름하고 번번하다.,참고 어휘 동글반반-하다
25059,둥글삐죽-하다,형용사,끝이 둥글면서 뾰족하게 쑥 내밀리어 있다.,
25077,둥글-하다,형용사,좀 크게 둥그렇다.,
25081,둥긋-하다,형용사,둥근 듯하다.,참고 어휘 동긋-하다
25157,둥실둥실-하다,형용사,둥그스름하고 투실투실하다.,
25158,둥실-하다,형용사,둥그스름한 데가 있다.,
25599,뒤넘-스럽다,형용사,주제넘게 행동하여 건방진 데가 있다.,
25629,뒤-늦다,형용사,제때가 지나 아주 늦다.,
25838,뒤룩뒤룩-하다,형용사,군살이 처지도록 살이 몹시 쪄서 뚱뚱하다.,
25937,뒤-무르다,형용사,뒷심이 약하다. 또는 뒤를 마무리하는 성질이 없다.,
26190,뒤숭숭-스럽다,형용사,느낌이나 마음이 어수선하고 불안한 데가 있다.,
26191,뒤숭숭-하다,형용사,느낌이나 마음이 어수선하고 불안하다.,
26205,뒤스럭-스럽다,형용사,말과 행동이 수선스럽고 부산한 데가 있다.,
26359,뒤웅-스럽다,형용사,생긴 꼴이 뒤웅박처럼 미련한 데가 있다.,
26878,뒤퉁-스럽다,형용사,미련하거나 찬찬하지 못하여 일을 잘 저지를 듯하다.,참고 어휘 되통-스럽다
27869,드-넓다,형용사,활짝 트이고 아주 넓다.,"비슷한말 관활-하다(寬闊하다), 광활-하다(廣闊하다)"
27876,드-높다,형용사,매우 높다.,
27901,드-다르다,형용사,전혀 다르다.,
28387,드레드레-하다,형용사,물건이 많이 매달려 있거나 늘어져 있다.,
28513,드레-지다,형용사,사람의 됨됨이가 가볍지 않고 점잖아서 무게가 있다.,
28740,드르르-하다,형용사,어떤 일에 능통하여 전혀 막힘이 없다.,
28864,드리-없다,형용사,경우에 따라 변하여 일정하지 않다.,
29017,드-맑다,형용사,아주 맑다.,
29047,드문드문-하다,형용사,시간적으로 잦지 않고 드물다.,
29056,드물다,형용사,어떤 일이 일어나는 일이 잦지 아니하다.,
29078,드-바쁘다,형용사,몹시 바쁘다.,비슷한말 총거-하다(悤遽하다)
29091,드-밝다,형용사,아주 밝다.,
29138,드뿍드뿍-하다,형용사,여럿이 다 분량이 꽤 넘치게 많다.,
29139,드뿍-하다,형용사,분량이 꽤 넘치게 많다.,
29148,드-세다,형용사,힘이나 기세가 몹시 강하고 사납다.,
29163,드스-하다,형용사,조금 드습다.,"참고 어휘 다스-하다, 뜨스-하다"
29164,드습다,형용사,알맞게 뜨뜻하다.,"참고 어휘 다습다, 뜨습다"
29227,드팀-없다,형용사,틈이 생기거나 틀리는 일이 없다. 또는 조금도 흔들림이 없다.,
29274,득달-같다,형용사,잠시도 늦추지 않다.,비슷한말 득돌-같다
29294,득돌-같다,형용사,뜻에 꼭꼭 잘 맞다.,
29380,득시글-하다,형용사,사람이나 동물 따위가 떼로 모여 어수선하고 수선스럽다.,준말 득실-하다
